Timestamp_RPI,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Rotate_x,Rotate_y,Motion_Label
2018-01-02T13:52:47.465826,2555,795,-1609,7328,732,16760,2,-23,10
2018-01-02T13:52:47.672738,-1917,3018,-688,1504,-7484,12484,-30,-5,10
2018-01-02T13:52:47.880245,176,-1098,-772,6852,-3552,16532,-11,-22,10
2018-01-02T13:52:48.087472,-1473,1881,-896,8364,-9944,19388,-25,-20,10
2018-01-02T13:52:48.294566,3104,676,880,2180,-2132,18972,-6,-6,10
2018-01-02T13:52:48.501941,-193,-1797,2779,1788,-5896,14872,-21,-6,10
2018-01-02T13:52:48.709437,889,-543,2631,1608,496,17236,1,-5,10
2018-01-02T13:52:48.916289,1153,2849,-1250,7704,2752,15932,8,-25,10
2018-01-02T13:52:49.123191,2699,1162,-1546,6936,-1396,19128,-3,-19,10
2018-01-02T13:52:49.330056,829,288,-2772,4304,-8012,17740,-23,-12,10
2018-01-02T13:52:49.537167,553,331,-1095,3008,-1680,17664,-5,-9,10
2018-01-02T13:52:49.744076,161,-981,-2406,9444,3732,14264,12,-32,10
2018-01-02T13:52:49.951015,590,-2297,430,-4272,3944,760,42,46,10
2018-01-02T13:52:50.157908,715,-4690,1355,6008,-872,13824,-3,-23,10
2018-01-02T13:52:50.364907,-329,-1347,632,14840,1892,26376,3,-29,10
2018-01-02T13:52:50.571657,4489,-3832,817,404,26976,31740,40,0,10
2018-01-02T13:52:50.778644,-1973,615,-1180,10676,2392,11592,8,-42,10
2018-01-02T13:52:50.985309,-1066,1390,-38,6612,-4432,21764,-11,-16,10
2018-01-02T13:52:51.192251,1422,542,-676,400,-2372,13196,-10,-1,10
2018-01-02T13:52:51.399318,-490,898,-2038,3004,-7312,15660,-24,-9,10
2018-01-02T13:52:51.605989,1152,546,-2531,868,152,13644,0,-3,10
2018-01-02T13:52:51.813028,1519,-1291,-866,440,-4064,15128,-15,-1,10
2018-01-02T13:52:52.019686,3583,2181,-509,7056,-3712,25860,-7,-15,10
2018-01-02T13:52:52.226745,-2341,-3766,1421,3492,616,16036,2,-12,10
2018-01-02T13:52:52.433837,537,-536,346,360,-2824,13804,-11,-1,10
2018-01-02T13:52:52.640700,-199,-414,323,1932,-4836,22068,-12,-4,10
2018-01-02T13:52:52.847639,-1988,8122,-3507,10976,-27984,19812,-51,-17,10
2018-01-02T13:52:53.056064,-3038,-3922,211,9868,696,19024,1,-27,10
2018-01-02T13:52:53.264475,5552,-649,-713,-1144,15556,17136,42,2,10
2018-01-02T13:52:53.471347,2195,-889,-1183,2120,1480,14840,5,-8,10
2018-01-02T13:52:53.678260,480,-3150,-707,2808,-4600,12400,-19,-11,10
2018-01-02T13:52:53.885033,-47,-139,-916,3500,-2484,16744,-8,-11,10
2018-01-02T13:52:54.092696,2480,3484,-1694,1428,-712,12904,-3,-6,10
2018-01-02T13:52:54.299761,-1982,-268,672,2372,-5112,18876,-15,-6,10
2018-01-02T13:52:54.507252,-590,-106,943,3832,-1960,14956,-7,-14,10
2018-01-02T13:52:54.715163,176,-685,-378,6076,-8032,16024,-25,-18,10
2018-01-02T13:52:54.922367,1235,-1719,687,5552,-2012,16804,-6,-18,10
2018-01-02T13:52:55.129339,1942,-1372,500,4316,-1524,17480,-4,-13,10
2018-01-02T13:52:55.336671,2130,-1081,1178,1964,-844,14800,-3,-7,10
2018-01-02T13:52:55.543680,900,-2211,753,5148,1068,14144,4,-19,10
2018-01-02T13:52:55.750951,-1200,-617,1900,820,-3144,13380,-13,-3,10
2018-01-02T13:52:55.958039,425,3556,-74,2780,-9060,15480,-29,-8,10
2018-01-02T13:52:56.164862,4711,6621,-889,520,-6788,17604,-21,-1,10
2018-01-02T13:52:56.372461,1519,-2922,805,4508,-268,18796,0,-13,10
2018-01-02T13:52:56.580475,-5138,2220,-2963,11220,-2248,17560,-6,-32,10
2018-01-02T13:52:56.787594,363,573,329,3820,-3064,13672,-12,-15,10
2018-01-02T13:52:56.994387,-323,3071,-1504,3112,3796,12472,16,-13,10
2018-01-02T13:52:57.201896,2164,-2840,1458,6060,-2472,19984,-6,-16,10
2018-01-02T13:52:57.409078,5075,5144,3887,-1432,-5544,17036,-17,4,10
2018-01-02T13:52:57.616052,2917,8138,-1103,-9168,-1992,2932,-11,68,10
2018-01-02T13:52:57.823417,1874,3832,482,6320,3184,23184,7,-15,10
2018-01-02T13:52:58.030414,-1032,4570,-3623,2480,-1176,14248,-4,-9,10
2018-01-02T13:52:58.237156,-3723,3280,-3851,-4136,-7000,10004,-32,18,10
2018-01-02T13:52:58.444450,-4281,865,-2573,5192,-9860,30988,-17,-9,10
2018-01-02T13:52:58.651837,-302,1450,-5152,2788,-6364,17984,-19,-8,10
2018-01-02T13:52:58.859018,-655,1311,-8001,2172,-8512,12948,-32,-7,10
2018-01-02T13:52:59.065743,-2138,-4034,-3406,-368,-9960,6996,-54,1,10
2018-01-02T13:52:59.272535,1372,-3416,-976,1296,1552,8388,10,-8,10
2018-01-02T13:52:59.479560,2993,-4357,4164,1648,-3524,12876,-15,-7,10
2018-01-02T13:52:59.686421,3520,-6799,6430,6660,-2720,15992,-8,-22,10
2018-01-02T13:52:59.893237,5587,1175,3634,9320,1988,21072,4,-23,10
2018-01-02T13:53:00.100167,90,2467,291,8416,-7168,15780,-21,-25,10
2018-01-02T13:53:00.307071,4601,7376,2202,1784,-5568,18116,-17,-5,10
2018-01-02T13:53:00.513982,3372,-5757,2429,5672,-432,19480,-1,-16,10
2018-01-02T13:53:00.720930,5265,-1979,-279,5020,-960,16636,-3,-16,10
2018-01-02T13:53:00.927714,-351,-1646,42,3436,-4016,10212,-20,-17,10
2018-01-02T13:53:01.135045,2744,2618,1155,5004,-6400,21476,-16,-12,10
2018-01-02T13:53:01.341856,2847,-1582,993,5364,128,15288,0,-19,10
2018-01-02T13:53:01.550971,3100,7834,-2227,12136,-10164,30180,-17,-20,10
2018-01-02T13:53:01.757780,-1257,907,-2149,8356,-2520,18452,-7,-24,10
2018-01-02T13:53:01.964807,-3011,1840,1673,-7552,-8532,6108,-41,35,10
2018-01-02T13:53:02.171613,-1385,-488,1217,5600,-8100,12828,-30,-20,10
2018-01-02T13:53:02.378504,3427,-2003,-856,9932,516,18704,1,-27,10
2018-01-02T13:53:02.585543,7221,8583,-3617,-4476,8888,10152,38,18,10
2018-01-02T13:53:02.792472,3842,2082,-4901,6192,6844,12004,26,-24,10
2018-01-02T13:53:02.999293,-3300,-5203,1444,11484,-5208,17632,-13,-31,10
2018-01-02T13:53:03.206431,-309,595,1661,11436,-1540,19328,-3,-30,10
2018-01-02T13:53:03.413224,2851,-3089,69,6292,264,14512,0,-23,10
2018-01-02T13:53:03.620088,1610,8631,-3256,1396,-192,14480,0,-5,10
2018-01-02T13:53:03.827133,3087,-1058,-3344,1892,2744,18736,8,-5,10
2018-01-02T13:53:04.034517,-496,961,-2167,5076,-1200,14172,-4,-19,10
2018-01-02T13:53:04.241618,-3768,-439,-2203,2320,-8904,14156,-31,-7,10
2018-01-02T13:53:04.448446,3868,-6473,2622,15040,4156,23060,8,-32,10
2018-01-02T13:53:04.655430,-4264,-673,1033,2972,-9888,17536,-29,-8,10
2018-01-02T13:53:04.862474,-6833,1833,133,-4792,-12516,6864,-56,18,10
2018-01-02T13:53:05.069527,4368,-11,-1511,-8724,1208,8420,5,45,10
2018-01-02T13:53:05.276359,-1991,-2257,172,9844,2432,6344,11,-55,10
2018-01-02T13:53:05.483144,-1902,-3570,3041,2204,-5608,12972,-23,-8,10
2018-01-02T13:53:05.689863,3544,-202,-463,7112,-92,18772,0,-20,10
2018-01-02T13:53:05.896713,553,-4752,62,5356,-4408,16732,-14,-17,10
2018-01-02T13:53:06.104096,2299,-880,36,5792,-124,18448,0,-17,10
2018-01-02T13:53:06.310825,-217,-1382,2449,-888,-7344,13300,-28,3,10
2018-01-02T13:53:06.518033,2834,-2260,96,1932,-432,11152,-2,-9,10
2018-01-02T13:53:06.724845,-1023,1153,-298,3824,-5480,17812,-16,-11,10
2018-01-02T13:53:06.931777,-2975,-474,-1641,6324,-2684,16996,-8,-20,10
2018-01-02T13:53:07.138705,-130,2030,-1837,5080,-6120,16832,-19,-15,10
2018-01-02T13:53:07.345540,-1066,-1041,728,7668,1188,12032,4,-32,10
2018-01-02T13:53:07.552733,-566,-3031,575,11856,-2888,15948,-8,-36,10
2018-01-02T13:53:07.759423,-2025,-3847,12,10108,996,11904,3,-40,10
2018-01-02T13:53:07.966579,-241,-4620,1352,6180,-3960,18244,-11,-18,10
2018-01-02T13:53:08.173559,3062,1102,265,10228,-6964,19876,-17,-25,10
2018-01-02T13:53:08.380720,1620,-237,-803,7048,-1096,14056,-3,-26,10
2018-01-02T13:53:08.587924,2493,-1175,-1549,1856,4492,18200,13,-5,10
2018-01-02T13:53:08.794691,-3429,-2436,-70,2576,524,8268,3,-17,10
2018-01-02T13:53:09.001927,-1602,-368,432,-532,-2984,14364,-11,2,10
2018-01-02T13:53:09.208806,-1530,-464,-719,10656,-5412,17848,-14,-29,10
2018-01-02T13:53:09.416441,1747,3612,-1064,8432,-3268,18476,-9,-24,10
2018-01-02T13:53:09.623500,-984,-343,590,1688,1380,15788,4,-6,10
2018-01-02T13:53:09.831494,3422,695,-1771,7596,5696,16512,17,-23,10
2018-01-02T13:53:10.038269,-811,-2197,-1332,4724,-1476,14552,-5,-17,10
2018-01-02T13:53:10.245471,-2129,-3517,3994,1744,-4136,9956,-22,-9,10
2018-01-02T13:53:10.452983,5018,-1358,1311,5176,-1060,17100,-3,-16,10
2018-01-02T13:53:10.659843,282,5261,-2059,4280,-5404,24176,-12,-9,10
2018-01-02T13:53:10.866995,675,3568,-4072,7488,-3084,16236,-9,-24,10
2018-01-02T13:53:11.073976,2108,238,-1166,8,-1180,16064,-4,0,10
2018-01-02T13:53:11.280740,783,1870,843,-1500,-6240,14960,-22,5,10
2018-01-02T13:53:11.489585,3820,-1485,-1004,8592,-1616,19508,-4,-23,10
2018-01-02T13:53:11.696861,-1919,-1276,-1252,10192,2764,15040,8,-33,10
2018-01-02T13:53:11.903872,224,2431,-916,4836,588,12636,2,-20,10
2018-01-02T13:53:12.110879,-993,839,-514,14688,-8224,22588,-16,-31,10
2018-01-02T13:53:12.317933,-900,-3702,2507,8148,-6204,16284,-18,-25,10
2018-01-02T13:53:12.524717,5825,-616,-4935,8256,21812,19244,46,-15,10
2018-01-02T13:53:12.732474,11571,-2645,-5486,-32768,15628,32767,18,42,10
2018-01-02T13:53:12.939307,5181,-7425,4991,-3120,1000,14572,3,12,10
2018-01-02T13:53:13.146291,-1113,-266,-9,9028,-5692,17960,-15,-25,10
2018-01-02T13:53:13.353081,8067,5648,-1941,20,5408,20292,14,0,10
2018-01-02T13:53:13.561343,4219,-3358,-1930,-11412,11172,9012,37,38,10
2018-01-02T13:53:13.767969,-5943,4443,-2321,4736,-10236,12756,-36,-16,10
2018-01-02T13:53:13.977799,-4051,9454,-6280,4272,-12852,16804,-36,-11,10
2018-01-02T13:53:14.184581,1419,-2317,-516,1272,-1356,15012,-5,-4,10
2018-01-02T13:53:14.391436,1980,1558,2464,-3088,-4500,14452,-16,11,10
2018-01-02T13:53:14.598456,3250,1281,606,-3080,12692,10780,48,10,10
2018-01-02T13:53:14.806100,-5705,4547,-3837,29924,-9232,19436,-14,-54,10
2018-01-02T13:53:15.014921,-9246,-1523,-1259,3848,-12236,12716,-42,-12,10
2018-01-02T13:53:15.221868,6064,3584,-1058,6312,2664,15048,9,-22,10
2018-01-02T13:53:15.429161,9251,2898,2679,6996,-5944,7084,-30,-37,10
2018-01-02T13:53:15.635814,1768,1192,2554,4992,-780,20672,-2,-13,10
2018-01-02T13:53:15.842699,2967,6692,-751,-26772,19348,-4784,35,53,10
2018-01-02T13:53:16.049683,-1923,4951,-5976,13152,-6320,9304,-21,-49,10
2018-01-02T13:53:16.256761,-8934,3926,-5254,24512,-1040,-3056,-2,-82,10
2018-01-02T13:53:16.463494,-3758,6456,-4371,19620,-5916,6264,-16,-66,10
2018-01-02T13:53:16.670398,3169,-1742,-3147,21604,11928,11308,26,-52,10
2018-01-02T13:53:16.877135,51,3082,-849,-7088,-12264,13648,-38,21,10
2018-01-02T13:53:17.084071,-34,-3811,2040,-4652,-5736,5336,-39,30,10
2018-01-02T13:53:17.290967,-2383,-7119,5799,1864,-10480,8616,-49,-7,10
2018-01-02T13:53:17.497958,-4378,-2963,2184,9100,176,9352,0,-44,10
2018-01-02T13:53:17.704922,2403,3871,-1593,-3544,-5796,17360,-18,10,10
2018-01-02T13:53:17.911816,-2763,-404,-4397,13244,-5732,18196,-14,-34,10
2018-01-02T13:53:18.118704,6390,-12339,1200,10544,7908,14816,23,-32,10
2018-01-02T13:53:18.325917,3933,-1559,1376,4992,-2832,18688,-8,-14,10
2018-01-02T13:53:18.533125,1809,4973,-481,1476,1324,11048,6,-7,10
2018-01-02T13:53:18.740312,-2031,1556,-1289,3620,-1804,12000,-8,-16,10
2018-01-02T13:53:18.947260,3326,-191,-1025,-1688,2100,9256,12,10,10
